sgUF;Nome;sgPartido;Nome_dep_simplificado;flag_reeleito_final
MT;Abilio Brunini;PL;abilio brunini;Nao
AP;Acácio Favacho;MDB;acacio favacho;Sim
AM;Adail Filho;REPUBLICANOS;adail filho;Nao
SP;Adilson Barroso;PL;adilson barroso;Nao
BA;Adolfo Viana;PSDB;adolfo viana;Sim
SP;Adriana Ventura;NOVO;adriana ventura;Sim
GO;Adriano do Baldy;PP;adriano do baldy;Sim
MG;Aécio Neves;PSDB;aecio neves;Sim
BA;Afonso Florence;PT;afonso florence;Sim
RS;Afonso Hamm;PP;afonso hamm;Sim
RS;Afonso Motta;PDT;afonso motta;Sim
PB;Aguinaldo Ribeiro;PP;aguinaldo ribeiro;Sim
PA;Airton Faleiro;PT;airton faleiro;Sim
CE;AJ Albuquerque;PP;aj albuquerque;Sim
DF;Alberto Fraga;PL;alberto fraga;Nao
SP;Alberto Mourão;MDB;alberto mourao;Nao
RR;Albuquerque;REPUBLICANOS;albuquerque;Sim
RS;Alceu Moreira;MDB;alceu moreira;Sim
SP;Alencar Santana;PT;alencar santana;Sim
SP;Alex Manente;CIDADANIA;alex manente;Sim
BA;Alex Santana;REPUBLICANOS;alex santana;Sim
TO;Alexandre Guimarães;MDB;alexandre guimaraes;Nao
SP;Alexandre Leite;UNIÃO;alexandre leite;Sim
RS;Alexandre Lindenmeyer;PT;alexandre lindenmeyer;Nao
SP;Alfredinho;PT;alfredinho;Nao
AL;Alfredo Gaspar;UNIÃO;alfredo gaspar;Nao
BA;Alice Portugal;PCdoB;alice portugal;Sim
PR;Aliel Machado;PV;aliel machado;Sim
AP;Aline Gurgel;REPUBLICANOS;aline gurgel;Nao
MA;Allan Garcês;PP;allan garces;Nao
RJ;Altineu Côrtes;PL;altineu cortes;Sim
MA;Aluisio Mendes;REPUBLICANOS;aluisio mendes;Sim
MT;Amália Barros;PL;amalia barros;Nao
MA;Amanda Gentil;PP;amanda gentil;Nao
ES;Amaro Neto;REPUBLICANOS;amaro neto;Sim
AM;Amom Mandel;CIDADANIA;amom mandel;Nao
MG;Ana Paula Leão;PP;ana paula leao;Nao
SC;Ana Paula Lima;PT;ana paula lima;Nao
MG;Ana Pimentel;PT;ana pimentel;Nao
CE;André Fernandes;PL;andre fernandes;Nao
PE;André Ferreira;PL;andre ferreira;Sim
CE;André Figueiredo;PDT;andre figueiredo;Sim
MA;André Fufuca;PP;andre fufuca;Sim
MG;André Janones;AVANTE;andre janones;Sim
PA;Andreia Siqueira;MDB;andreia siqueira;Nao
AC;Antônia Lúcia;REPUBLICANOS;antonia lucia;Sim
TO;Antonio Andrade;REPUBLICANOS;antonio andrade;Nao
BA;Antonio Brito;PSD;antonio brito;Sim
SP;Antonio Carlos Rodrigues;PL;antonio carlos rodrigues;Nao
PA;Antônio Doido;MDB;antonio doido;Nao
RS;Any Ortiz;CIDADANIA;any ortiz;Nao
SP;Arlindo Chinaglia;PT;arlindo chinaglia;Sim
SP;Arnaldo Jardim;CIDADANIA;arnaldo jardim;Sim
AL;Arthur Lira;PP;arthur lira;Sim
BA;Arthur Oliveira Maia;UNIÃO;arthur oliveira maia;Sim
AM;Átila Lins;PSD;atila lins;Sim
PI;Átila Lira;PP;atila lira;Nao
PE;Augusto Coutinho;REPUBLICANOS;augusto coutinho;Sim
AP;Augusto Puppio;MDB;augusto puppio;Nao
RJ;Aureo Ribeiro;SOLIDARIEDADE;aureo ribeiro;Sim
BA;Bacelar;PV;bacelar;Sim
SP;Baleia Rossi;MDB;baleia rossi;Sim
RJ;Bandeira de Mello;PSB;bandeira de mello;Nao
